"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"FO 371/5131","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 105 (papers 3239 - end)","Turkey. Code 44 File 105 (papers 3239 - end).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 105 (pp.3239-end).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2762796","253.656387"
"FO 371/9840","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 7070 (papers 15329 - 16485)","Germany. Code 18 File 7070 (papers 15329 - 16485).","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 7070 (pp.15329-16485).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2767505","253.656387"
"FO 371/4908","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Persia. Code 34 File 82 (papers 476 - 4966)","Persia. Code 34 File 82 (papers 476 - 4966).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 82 (pp.476-4966).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2762573","253.656387"
"FO 371/8576","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Czechoslovakia. Code 12 File 627 (papers 7672 - 14719)","Czechoslovakia. Code 12 File 627 (papers 7672 - 14719).","01/01/1923","19230101","31/12/1923","19231231","1923","The National Archives, Kew","6","Former Reference Dep: File 627 (pp.7672-14719).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2766241","253.656387"
"FO 371/4775","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 192 (papers 11666 - 13358)","Germany. Code 18 File 192 (papers 11666 - 13358).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 192 (pp.11666-13358).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2762440","253.656387"
"FO 371/4935","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Caucasus. Code 58 File 1 (papers 3098 - 3863)","Caucasus. Code 58 File 1 (papers 3098 - 3863).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.3098-3863).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C2762600","253.656387"
"FO 371/4818","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 1621 (papers 7331 - 8733)","Germany. Code 18 File 1621 (papers 7331 - 8733).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 1621 (pp.7331-8733).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2762483","253.656387"
"FO 371/8634","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 1 (papers 7899 - 8158)","Germany. Code 18 File 1 (papers 7899 - 8158).","01/01/1923","19230101","31/12/1923","19231231","1923","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.7899-8158).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2766299","253.656387"
"FO 371/8628","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 1 (papers 1067 - 2031)","Germany. Code 18 File 1 (papers 1067 - 2031).","01/01/1923","19230101","31/12/1923","19231231","1923","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.1067-2031).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2766293","253.656387"
"FO 371/4640","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Austria. Code 3 File 351 (papers 9250 - 11722)","Austria. Code 3 File 351 (papers 9250 - 11722).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 351 (pp.9250-11722).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2762305","253.656387"
